-----------------------------------
Unigrams and their probabilities:
japan? has probability 8.848774444739404e-05
global has probability 8.848774444739404e-05
point has probability 8.848774444739404e-05
last? has probability 8.848774444739404e-05
station has probability 8.848774444739404e-05
quoted? has probability 8.848774444739404e-05
treaty? has probability 8.848774444739404e-05
auto has probability 8.848774444739404e-05
plo has probability 8.848774444739404e-05
flight has probability 8.848774444739404e-05
board has probability 8.848774444739404e-05
losing has probability 8.848774444739404e-05
fail? has probability 8.848774444739404e-05
violence? has probability 8.848774444739404e-05
action has probability 8.848774444739404e-05
disease? has probability 8.848774444739404e-05
fire? has probability 8.848774444739404e-05
funding has probability 8.848774444739404e-05
parents has probability 8.848774444739404e-05
star has probability 8.848774444739404e-05
number? has probability 8.258856148423444e-05
important? has probability 8.258856148423444e-05
full has probability 8.258856148423444e-05
parties has probability 8.258856148423444e-05
reduce has probability 8.258856148423444e-05
estimate has probability 8.258856148423444e-05
begin has probability 8.258856148423444e-05
location has probability 8.258856148423444e-05
instead has probability 8.258856148423444e-05
happening? has probability 8.258856148423444e-05
attack has probability 8.258856148423444e-05
korea has probability 8.258856148423444e-05
similar has probability 8.258856148423444e-05
death? has probability 8.258856148423444e-05
speak has probability 8.258856148423444e-05
firms has probability 8.258856148423444e-05
purpose has probability 8.258856148423444e-05
others? has probability 8.258856148423444e-05
term has probability 8.258856148423444e-05
more? has probability 8.258856148423444e-05
town has probability 8.258856148423444e-05
concerns has probability 8.258856148423444e-05
free has probability 8.258856148423444e-05
takeover has probability 8.258856148423444e-05
lot has probability 8.258856148423444e-05
benefit has probability 8.258856148423444e-05
percent has probability 8.258856148423444e-05
strike? has probability 8.258856148423444e-05
short has probability 8.258856148423444e-05
lost has probability 8.258856148423444e-05
other? has probability 8.258856148423444e-05
effects has probability 8.258856148423444e-05
causes has probability 8.258856148423444e-05
been? has probability 8.258856148423444e-05
data? has probability 8.258856148423444e-05
chosen has probability 8.258856148423444e-05
injured? has probability 8.258856148423444e-05
decline? has probability 8.258856148423444e-05
sales? has probability 8.258856148423444e-05
opposed has probability 8.258856148423444e-05
may has probability 8.258856148423444e-05
newspaper has probability 8.258856148423444e-05
street has probability 8.258856148423444e-05
among has probability 8.258856148423444e-05
leave has probability 8.258856148423444e-05
battle has probability 8.258856148423444e-05
bid has probability 8.258856148423444e-05
west has probability 8.258856148423444e-05
lower has probability 8.258856148423444e-05
head has probability 8.258856148423444e-05
week? has probability 8.258856148423444e-05
usually has probability 8.258856148423444e-05
playing has probability 8.258856148423444e-05
very has probability 8.258856148423444e-05
college has probability 8.258856148423444e-05
refuse has probability 8.258856148423444e-05
bomb has probability 8.258856148423444e-05
job? has probability 8.258856148423444e-05
period has probability 8.258856148423444e-05
truce? has probability 8.258856148423444e-05
called? has probability 7.668937852107483e-05
members? has probability 7.668937852107483e-05
every has probability 7.668937852107483e-05
kill has probability 7.668937852107483e-05
located has probability 7.668937852107483e-05
required has probability 7.668937852107483e-05
agency has probability 7.668937852107483e-05
businesses has probability 7.668937852107483e-05
earth has probability 7.668937852107483e-05
happens has probability 7.668937852107483e-05
california has probability 7.668937852107483e-05
relate has probability 7.668937852107483e-05
obama has probability 7.668937852107483e-05
all? has probability 7.668937852107483e-05
problem? has probability 7.668937852107483e-05
america has probability 7.668937852107483e-05
residents has probability 7.668937852107483e-05
land has probability 7.668937852107483e-05
school? has probability 7.668937852107483e-05
dangerous? has probability 7.668937852107483e-05
